MCU;CANAL;SEGMENTO;REC_JAN;REC_FEV;REC_MAR;REC_ABR;REC_MAI;REC_JUN;REC_JUL;REC_AGO;REC_SET;REC_OUT;REC_NOV;REC_DEZ;REC_ACU;META_JAN;META_FEV;META_MAR;META_ABR;META_MAI;META_JUN;META_JUL;META_AGO;META_SET;META_OUT;META_NOV;META_DEZ;META_ACU;ANT_JAN;ANT_FEV;ANT_MAR;ANT_ABR;ANT_MAI;ANT_JUN;ANT_JUL;ANT_AGO;ANT_SET;ANT_OUT;ANT_NOV;ANT_DEZ;ANT_ACU
14464;À VISTA;OUTROS;0;0;0;49,5;25,73999977;0;0;0;0;0;0;0;75,23999977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14466;A FATURAR;CONVENIÊNCIA;6,75;6,949999809;6,75;15,89999962;0;0;0;0;0;0;0;0;36,34999943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14466;A FATURAR;ENCOMENDA;0;244,7099991;0;75,42000198;26,68000031;0;0;0;0;0;0;0;346,8100014;35,43000004;316,6699997;262,93;538,51;153,4299566;0;0;0;0;0;0;0;1306,969956;29,67000008;188,7100067;90,20999908;301,5499954;0;0;0;0;0;0;0;0;610,1400013
14466;À VISTA;CONVENIÊNCIA;985,8599923;1201,159993;872,5099969;908,7700016;271,3400002;0;0;0;0;0;0;0;4239,639984;2195,511936;1923,176958;2443,86445;2058,973246;1006,682911;0;0;0;0;0;0;0;9628,209502;947,6099976;687,3099978;919,6400015;476,4600009;337,0000004;0;0;0;0;0;0;0;3368,019998
14466;À VISTA;ENCOMENDA;8764,73;8374,700039;10809,15;9476,299896;2614,910019;0;0;0;0;0;0;0;40039,78996;9040,439982;8323,52;10493,55998;8373,380008;3950,763047;0;0;0;0;0;0;0;40181,66302;11102,78002;6425,599913;11470,43001;6089,64999;4868,419907;0;0;0;0;0;0;0;39956,87984
14466;À VISTA;INTERNACIONAL;600,2499847;531,1500092;289,75;417,6500092;0;0;0;0;0;0;0;0;1838,800003;828,83;798,2999992;1042,669999;838,2800017;380,7862035;0;0;0;0;0;0;0;3888,866203;682,8000031;0;996,9500122;0;177,6000061;0;0;0;0;0;0;0;1857,350021
14466;À VISTA;MARKETING;0;7,25;0;7,599999905;0;0;0;0;0;0;0;0;14,8499999;198,2600002;175,6600005;212,12;175,1599998;74,6898203;0;0;0;0;0;0;0;835,8898209;0;28,29999924;0;40,19999981;0;0;0;0;0;0;0;0;68,49999905
14466;À VISTA;MENSAGEM;622,299999;531,799998;498,0500025;430,4500039;123,0499992;0;0;0;0;0;0;0;2205,650003;1824,61;1673,44;2086,51;1647,790002;741,8771609;0;0;0;0;0;0;0;7974,227163;512,9900021;464,6199959;548,4799961;604,6200039;359,9200119;0;0;0;0;0;0;0;2490,63001
14466;À VISTA;OUTROS;0;0;0;17,81999969;0;0;0;0;0;0;0;0;17,81999969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14468;A FATURAR;CONVENIÊNCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;4,67;4,439999996;11,11;4,909999995;1,914869859;0;0;0;0;0;0;0;27,04486985;0;0;7,599999905;0;0;0;0;0;0;0;0;0;7,599999905
