Sigla;Descrição;Categoria;Tipo Concoord
FA; FAC REGISTRADO; REGISTRADO CONVENCIONAL;OUTROS
FB; FAC REGISTRADO; REGISTRADO CONVENCIONAL;OUTROS
FC; FAC REGISTRADO (5 DIAS); REGISTRADO CONVENCIONAL;OUTROS
FD; FAC REGISTRADO (10 DIAS); REGISTRADO CONVENCIONAL;OUTROS
FE; ENCOMENDA FNDE; INTEGRADA ESPECIAL NÃO URGENTE;OUTROS
FF; ETIQUETA LOG FAC REGISTRADO; REGISTRADO ESPECIAL;OUTROS
FH; FAC REGISTRADO C/ AR DIGITAL; REGISTRADO CONVENCIONAL;OUTROS
FJ; REMESSA ECONÔMICA C/ AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
FM; FAC REGISTRADO (MONITORADO); REGISTRADO ESPECIAL;OUTROS
FR; FAC REGISTRADO; REGISTRADO CONVENCIONAL;OUTROS
IA; INTEGRADA AVULSA; INTEGRADA AVULSA;OUTROS
IC; INTEGRADA A COBRAR; INTEGRADA A COBRAR;OUTROS
ID; INTEGRADA DEVOLUCAO DE DOCUMENTO; INTEGRADA DEVOLUCAO DE DOCUMEN;OUTROS
IE; INTEGRADA ESPECIAL; INTEGRADA ESPECIAL;OUTROS
IF; CPF; OBJETO INTERNACIONAL;OUTROS
IG; ETIQUETA LOG CPF IG; OBJETO INTERNACIONAL;OUTROS
II; INTEGRADA INTERNO; INTEGRADA CONSOLIDADO;OUTROS
IK; INTEGRADA COM COLETA SIMULTANEA; INTEGRADA COM COLETA SIMULTANE;OUTROS
IM; INTEGRADA MEDICAMENTOS; INTEGRADA MEDICAMENTO URGENTE;OUTROS
IN; OBJ DE CORRESP E EMS REC EXTERIOR; OBJETO INTERNACIONAL;OUTROS
IP; INTEGRADA PROGRAMADA; INTEGRADA PROGRAMADA;OUTROS
IR; INTEGRADA RECEBEDOR; INTEGRADA RECEBEDOR;OUTROS
IS; INTEGRADA STANDARD MEDICAMENTO; INTEGRADA MEDICAMENTOS;OUTROS
IT; INTEGRADA TERMOLÁBIL; INTEGRADA MEDICAMENTOS;OUTROS
IU; INTEGRADA URGENTE; INTEGRADA URGENTE;OUTROS
IX; CORREIOS PACKET EXPRESS; PACKET EXPRESS IMPORTAÇÃO;OUTROS
JA; REMESSA ECONÔMICA C/AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JB; ETIQUETA REGISTRADO AGÊNCIA; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JC; ETIQ REG COM AR DIGITAL (JC); REGISTRADO CONVENCIONAL;OUTROS
JD; REMESSA ECONÔMICA TALÃO/CARTÃO; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JE; REMESSA ECONÔMICA C/AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JF; REMESSA ECONÔMICA C/AR DIGITAL; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JG; REGISTRADO PRIORITÁRIO; REGISTRADO ESPECIAL;OUTROS
JH; REGISTRADO PRIORITÁRIO; REGISTRADO ESPECIAL;OUTROS
JI; ETQ REM ECON TALÃO/CARTÃO; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JJ; REGISTRADO JUSTIÇA; REGISTRADO LÓGICO;OUTROS
JK; ETQ REM ECON TALAO/CARTAO; REMESSA ECONÔMICA TALÃO/CARTÃO;OUTROS
JL; REGISTRADO LÓGICO; REGISTRADO LÓGICO;OUTROS
JM; ETIQUETA MD POSTAL ESPECIAL; MALA DIRETA POSTAL ESPECIAL;OUTROS
